Sample_ID,subspp,locality,habitat,mass,FiO2a,FiO2b,FiO2c,FiO2_avg,RMR,TEWL-mg_min,TEWL_h,TEWL,kidney_mass,kidmass_corr,blood_osmo,urine_osmo,UPratio,medulla,latitude,longitude,min_H2O_osmo,mean_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,mayjune_tmax,mayjune_tmin,mayjune_prec
MB1,alaudinus,MorroBay,tidal_cal,18.2,0.2094112,0.2094585,0.2096167,0.209495467,1.089111,1.639404,98.36424,5.404628571,NA,NA,367,NA,NA,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB2,alaudinus,MorroBay,tidal_cal,16.9,0.2094,0.2094592,0.2096395,0.209499567,0.9479287,0.9122897,54.737382,3.238898343,NA,NA,342.5,364,1.06,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB3,alaudinus,MorroBay,tidal_cal,18.1,0.2081604,0.208208,0.2084536,0.208274,1.007,1.180346,70.82076,3.912749171,NA,NA,333,161,0.48,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB4,alaudinus,MorroBay,tidal_cal,17.8,0.2081604,0.208208,0.2084536,0.208274,1.073863,0.9560882,57.365292,3.222769213,NA,NA,NA,NA,NA,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB5,alaudinus,MorroBay,tidal_cal,17.6,0.2093486,0.2093236,0.2096053,0.209425833,1.099264,1.461168,87.67008,4.981254545,NA,NA,341,476,1.4,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB6,alaudinus,MorroBay,tidal_cal,18.5,0.2093486,0.2093236,0.2096053,0.209425833,1.019542,1.12543,67.5258,3.650043243,NA,NA,352,486,1.38,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB7,alaudinus,MorroBay,tidal_cal,18.8,0.2093486,0.2093236,0.2096053,0.209425833,1.201939,1.194324,71.65944,3.81167234,NA,NA,344,162,0.47,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB9,alaudinus,MorroBay,tidal_cal,18.6,0.2093933,0.2098997,0.2100448,0.209779267,1.020171,1.135067,68.10402,3.661506452,NA,NA,353,NA,NA,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB10,alaudinus,MorroBay,tidal_cal,17.7,0.2093933,0.2098997,0.2100448,0.209779267,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,35.33435,-120.8189167,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
GIWA1,alaudinus,GrizzlyIs,tidal_cal,16.3,0.2094179,0.2092978,0.2091419,0.209285867,0.977197,1.439664,86.37984,5.299376687,NA,NA,350,207,0.59,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA2,alaudinus,GrizzlyIs,tidal_cal,16.6,0.2094179,0.2092978,0.2091419,0.209285867,1.082126,2.29213,137.5278,8.284807229,NA,NA,343,NA,NA,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA3,alaudinus,GrizzlyIs,tidal_cal,17.2,0.2094179,0.2092978,0.2091419,0.209285867,1.010084,2.145429,128.72574,7.484054651,NA,NA,338,559,1.65,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA4,alaudinus,GrizzlyIs,tidal_cal,13.4,0.2089027,0.2086036,0.2086665,0.208724267,0.791553,2.04494,122.6964,9.156447761,NA,NA,345,NA,NA,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA5,alaudinus,GrizzlyIs,tidal_cal,16.5,0.2089027,0.2086036,0.2086665,0.208724267,1.100727,1.958717,117.52302,7.122607273,NA,NA,361,NA,NA,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA6,alaudinus,GrizzlyIs,tidal_cal,16.7,0.2087969,0.2089293,0.2088869,0.208871033,0.8888226,2.555876,153.35256,9.182788024,NA,NA,333,700,2.1,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
GIWA7,alaudinus,GrizzlyIs,tidal_cal,16,0.2087969,0.2089293,0.2088869,0.208871033,0.7613865,2.207147,132.42882,8.27680125,NA,NA,NA,619,NA,NA,38.13381667,-121.9559,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
