Sample_ID,subspp,locality,loc_num,habitat,mass,kidney_mass,kidmass_corr,medulla,plasma_osmo,urine_osmo,UPratio,TEWL,min_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,may-june_tmax,may-june_tmin,may-june_prec
MB1,alaudinus,MorroBay,1,Salt,18.2,NA,NA,NA,367,NA,NA,5.405,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB2,alaudinus,MorroBay,1,Salt,16.9,NA,NA,NA,342.5,364,1.06,3.239,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB3,alaudinus,MorroBay,1,Salt,18.1,NA,NA,NA,333,161,0.48,3.913,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB4,alaudinus,MorroBay,1,Salt,17.8,NA,NA,NA,NA,NA,NA,3.223,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB5,alaudinus,MorroBay,1,Salt,17.6,NA,NA,NA,341,476,1.4,4.981,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB6,alaudinus,MorroBay,1,Salt,18.5,NA,NA,NA,NA,486,NA,3.65,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB7,alaudinus,MorroBay,1,Salt,18.8,NA,NA,NA,362.5,162,0.45,3.812,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB9,alaudinus,MorroBay,1,Salt,18.6,NA,NA,NA,344,NA,NA,3.662,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
MB10,alaudinus,MorroBay,1,Salt,17.7,NA,NA,NA,353,415,1.18,NA,989,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4
GIWA1,alaudinus,GrizzlyIs,2,Salt,16.3,NA,NA,NA,350,207,0.59,5.299,171.67,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6
