number,sample,locality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84
1,90711,Atanasia,-78.10017171,-21.71214731,12.41134271,-21.86882671,3.245554648,4.664586838,-1.177791158,1.459587863,-1.178910136,4.359988591,-1.159132846,1.45679334,-0.39581927,1.853526718,4.608952001,-6.003954827,2.609841527,1.27625032,1.590480238,-3.667455458,1.065927951,4.300162657,-0.493017627,-0.824523951,-0.300705213,-0.718641279,-1.504096649,-1.432395736,-2.535437434,4.537816421,0.087511093,2.70192207,2.210918059,-0.773333937,-1.1393681,-3.396752272,-0.848394775,-2.106722032,5.361942922,2.513786469,9.472272646,-4.477566086,-6.90065658,-12.9352148,6.353725306,2.99059654,-4.430229641,-4.203210659,1.331196652,-4.134313688,6.656138841,-0.806760301,-1.856302646,6.687757643,-7.127656153,-3.886108349,-6.344759618,6.584115663,11.18762704,0.510247605,-12.8486414,3.637568311,2.375003028,2.902906233,1.930560999,-0.217437771,-0.331517298,-0.545653605,-1.928591633,-1.329990522,4.000628193,4.204243453,2.167476178,-3.98096759,-0.771655735,0.83412278,0.405983662,0.450842144,-0.877458348,2.220984292,-1.427529341,25.83898172,-4.660723851,-5.61E-13
2,90712,Atanasia,-75.15237117,-22.92478321,11.27898071,-21.50758219,3.064348861,4.468501988,-1.516701229,1.562326212,-1.34510503,4.898590276,-0.683746071,1.542848273,-0.500422157,1.917000459,4.898393983,-5.484657684,1.524753897,1.437328616,1.861871229,-3.92399179,0.863901542,3.686225748,-1.048352434,-1.589342529,-0.012491272,-0.210955923,-1.716651247,-1.501225508,-2.458957623,5.04330083,0.436719188,1.720623555,1.416863325,-0.59068049,-1.200015338,-3.916877754,-0.49581821,-2.515177229,5.503044078,2.190331211,10.24747187,-4.698599524,-6.59264736,-12.9294497,6.883043902,2.191774541,-5.216945825,-5.026129769,1.216655896,-4.361928178,5.686351464,0.523960913,-3.462343511,5.671849813,-5.022262706,-2.980087754,-4.613913142,5.523821371,11.71048629,0.306045308,-12.83639368,3.236238969,3.804696759,1.091882365,1.555521797,0.459425598,-0.254183348,-0.648845432,-5.792363592,-2.090309924,4.121436786,6.865921173,0.00329811,-2.24655121,0.757651757,-1.471471577,0.427319914,-0.389272586,-0.314247217,0.387916851,-1.715124004,-25.81769736,5.446886099,4.14E-12
3,90732,Atanasia,-75.12246869,-20.96428909,11.25838947,-18.41602491,2.573417711,4.027634673,-0.966624646,1.225761774,-0.069458484,2.772944885,-0.554237476,2.402551271,-0.93008118,-1.018962545,3.840747049,-5.134014035,1.504439998,1.493351199,1.698731793,-2.05466515,1.250417168,0.966995961,-0.234805585,-0.361844531,-0.408808315,-0.592831402,-1.512321975,-2.3652537,-2.770287135,1.92538131,0.621159599,0.071475527,1.097630395,0.459935637,-1.00815671,-1.470073407,0.116783236,-1.482595795,2.694136807,1.309611583,4.93072307,-2.302918932,-4.072232281,-7.820078498,3.215696229,3.615584521,-3.434633694,-3.623846616,-1.89203073,-1.151958455,3.9690498,1.100166404,-1.043591497,-2.250152237,11.92916328,-2.630654021,-1.286581006,-18.2274486,-18.35188054,-11.65846448,23.50507223,-0.572016953,-4.960852984,-10.17672204,6.182721133,6.442566918,-1.116578077,4.729065882,6.781450341,-4.304540707,8.292492014,7.186242889,8.518383505,-0.696254161,7.887246305,-2.750208896,7.988334434,-8.712518044,1.352702181,-6.668821808,-3.180902502,0.774817036,0.754942889,3.98E-12
4,90733,Atanasia,-74.3930639,-19.91981751,10.96284962,-18.4129408,1.927704524,3.677418878,-1.436886388,0.590262706,0.103324976,2.829087517,-0.424075679,0.883161667,-0.635880681,0.843662811,4.707197879,-5.740425027,3.410780131,1.555630307,1.311187189,-1.446131328,1.04234118,1.62754712,-0.183412893,-1.002345729,-0.189691884,0.870856931,-0.753523797,-0.145737151,-0.67642318,2.250102782,-0.438209772,0.11007513,0.674474334,-0.57610188,0.640791959,-2.382188831,-0.270650033,-0.642693471,1.664555272,1.209654219,4.363270534,-1.032818148,-2.185611213,-4.933632273,2.797893571,1.06934647,-1.532865253,-0.973031785,0.0280541,-8.105879225,0.246854909,-0.787448499,-2.877473162,0.585558639,0.423551233,6.058900321,-0.118041273,-3.625709131,-15.00619704,4.767726134,-0.551719175,-9.431333975,-7.659220469,10.41571942,-3.211133473,-1.902794328,-5.681794387,6.220368179,2.665718994,12.60373424,-15.51297592,-27.80975261,-10.7520329,6.816521409,-4.748253851,0.163869858,-9.965561932,2.148120498,3.342155053,-4.578350284,4.333708036,-0.994472838,-0.297193786,4.11E-12
5,GIWA1,GrizzlyIs,-12.64497015,-72.06013544,4.757292428,-0.349471066,4.236545594,3.838198499,-0.973013246,-1.077918403,-0.008306173,0.828252881,-5.954663748,-0.818003781,7.586880805,-14.27285496,0.669023509,-5.742267431,0.616955069,-9.960770659,0.458832171,-6.676397575,-9.894091863,18.19263637,33.93630649,-4.540681089,-28.69170305,-7.129517616,10.7185609,-0.220967052,-12.71236109,-8.355651877,-2.955719237,-7.24604613,-14.78799167,16.63362252,12.37410092,5.865112011,4.36941172,-0.056487287,-13.98716375,0.568557606,-2.970615243,3.24158389,-0.850390657,7.756097492,3.535243862,-2.496944544,3.76096668,2.613542628,5.301470505,-1.196256887,-3.259738923,1.277481402,-0.438840659,-0.131122613,-0.101959976,0.142018221,1.422127527,1.794211577,0.490370295,0.67082888,-1.048642131,0.540920087,0.017465471,-1.252949455,0.215392692,0.341826249,-0.103241024,-0.368487855,-0.106865329,0.019667803,0.422912141,0.820554071,0.390261327,-0.812811132,-0.620181976,0.583290862,0.851874892,0.047132755,-1.184805875,0.374377739,-0.140067571,-0.196640026,-0.131263224,4.45E-13
6,GIWA2,GrizzlyIs,-13.59514897,-68.95180173,5.049406164,-0.635384029,1.80027263,0.906699273,-2.481501334,6.306985486,3.089011621,0.967853567,-0.027900049,4.753031077,0.37668834,-6.373074847,2.42597223,-5.419361257,0.080433729,-4.215399193,8.753330064,-2.206079058,-3.698518854,5.7546877,2.310026441,-5.203331048,19.60263676,4.730906076,4.032319296,12.91776704,-5.418581202,22.39545152,22.0659987,12.94884762,1.494270602,16.38558229,-23.65207397,-2.868500204,8.530588633,26.81337724,8.388481027,-2.652925081,-11.15308654,5.529720443,6.534452325,10.1010525,-9.456787763,-3.09960678,1.380559898,5.230082547,-1.19287662,-1.487011158,-4.365136417,1.604536105,-0.209675661,-1.553472046,0.548526787,0.562369455,-0.97996624,0.474305925,1.004286906,1.120001849,-0.932144946,-0.320813876,0.522783914,-2.048190718,0.156540331,-0.584541026,0.451077949,-1.425540151,-0.139187176,-0.69194552,0.346050386,0.483734784,-0.029459241,-0.240497395,-0.118237246,0.431006725,0.116278574,-0.399186452,-0.454431957,0.641326141,-0.225656587,0.059748703,-0.102956437,1.47E-13
7,GIWA3,GrizzlyIs,-11.73843641,-69.65823482,5.264179489,1.29975685,1.877142276,-0.750637491,1.464289742,5.938099911,-4.710198469,6.41758409,-1.780202805,10.00188709,12.30961374,-6.208620458,-4.558475122,-0.657993821,3.526723382,-4.300099106,11.69984877,-4.559601993,17.23147111,-14.03538926,-14.59616118,17.30717861,-9.762237539,-0.036422315,-4.132016676,-23.94345756,-7.486968761,15.93859608,1.306852481,13.3024953,-18.02466701,-26.18616846,9.798043581,1.054603725,0.046381126,-1.297955973,-8.391153031,-10.97738605,1.187779185,7.190192499,7.065491059,12.66897657,-5.149614576,-1.285774802,-1.747182149,4.678654094,-0.849933806,-0.275463354,-2.43567309,0.691268232,-0.954711495,-0.050797688,-1.062686133,1.293538625,-0.435661302,1.589365452,0.568875875,-0.062670856,-0.421348503,0.258272766,0.229836448,-0.458492903,-0.524367236,-0.25573874,1.353875583,-0.568922036,0.369026557,-0.998410898,1.830679878,-0.348483144,0.460331346,-0.386820053,0.084858542,0.12430612,-0.050005267,0.540867175,-0.122836814,0.914850756,-0.083528025,-0.019945712,-0.076047681,6.60E-13
8,GIWA4,GrizzlyIs,-9.465432403,-71.24757394,7.876663131,0.18615257,0.314116896,0.474870165,-0.991843578,9.919958916,5.121661734,3.294485994,10.15781687,2.328897848,1.845354536,-8.982115112,-8.383688659,-11.61408326,-17.89444824,8.376848209,-52.19971505,3.215700739,19.03417685,-6.950179455,-0.047746698,-2.856792972,11.82946885,-0.348589232,-5.389375034,7.342760553,-0.883010382,-8.734715603,-4.672100876,-5.571330593,-1.427324345,-5.238212658,-2.560543627,5.651087393,2.556451765,3.927766177,-10.43391469,1.746854522,-1.961265895,-5.035001036,3.579380339,-0.897703562,1.023770385,-2.076826087,1.089272116,-0.106175041,-2.243398822,-1.256954335,-4.205244641,1.414299583,0.600852351,0.744743563,0.134811917,0.001582126,-0.006674649,1.306888187,1.384421617,0.829460043,-0.125310818,1.168395691,0.936004218,-0.635169791,-0.281276541,-0.380319196,0.344854391,-0.658006718,0.335511263,0.126577359,0.974034914,-0.411576929,0.404899832,0.1239928,0.158548559,0.14397168,0.090683745,-0.238669444,0.369126909,-0.101288065,-0.141730395,0.013552635,-0.230020867,1.40E-13
9,GIWA5,GrizzlyIs,-9.33300813,-69.68501487,6.504237482,-0.382492509,1.36804928,-2.557877003,1.578064115,9.630125519,-7.637014475,11.20617931,-4.253209356,4.687576646,6.616086724,-9.924301536,-9.973212714,20.52913922,1.139181785,3.928179814,22.22130182,-17.0111796,11.84838173,-31.89170557,7.524020922,-4.994146717,8.293182442,8.2578367,6.858434186,8.251313314,17.95666148,-23.16277837,-3.224816327,-6.162224343,14.24188653,11.25729888,3.053957268,1.316147349,-3.537478258,-2.875948872,2.969022807,4.01561802,3.446823105,-1.009945723,-0.64359393,3.289241242,2.224491317,-3.005428147,1.653633388,-0.136358242,1.246366228,-0.970584712,-1.663428682,0.564961977,2.1580542,-0.206944324,0.573740841,0.027512221,0.870182184,-0.084534002,1.0525482,-0.765053165,-1.40487677,1.275733475,-0.560623018,0.224718307,0.020263858,-0.19561081,-0.284305882,-0.548829226,-0.428905765,-0.01997288,1.284600889,-0.247146213,-0.718935522,-0.207625224,0.006127577,0.36080333,0.074967627,-0.102756358,0.217201248,0.097775403,-0.249346072,0.203398335,0.022640796,7.13E-13
10,GIWA7,GrizzlyIs,-8.01578585,-70.61249371,6.742081243,3.100625636,9.211553918,7.330355837,0.020137393,22.37770646,14.30570576,-34.86499305,19.65559905,-31.05445044,-29.57922018,22.11884175,-3.776202956,13.31821296,-3.860699358,-3.028765428,8.140667172,-1.110655086,0.412064337,0.412759797,3.193848172,-0.789753321,-2.637573019,-1.120880929,2.163772964,-5.488601169,1.370476869,-0.503848592,3.198110356,-2.408149501,1.842116738,-7.304092615,2.653028563,0.856697454,0.070196198,-0.749088819,-3.464303127,-3.563219447,-0.071402033,-0.007820769,-1.301138916,1.297213347,-0.064428983,-0.628524027,-0.632343418,-0.265027828,-2.309474842,-0.652621142,-0.781584945,0.323550287,-0.398189462,0.573284015,-0.190807031,1.001659159,-0.218653267,-0.079220285,0.436797044,0.10809248,-0.2827567,0.585741279,0.408402059,-0.52379774,-0.243051485,0.413314342,0.330956781,-0.456841867,0.172660159,0.064727428,-0.049772968,0.108050615,0.726761681,0.276835805,0.227458092,-0.045762873,-0.036668521,0.078894822,0.064552649,-0.199746825,-0.147912938,0.04524572,-0.024277184,-4.23E-13
