population,class,kidmass,Medulla,plasma,urine,UP,TEWL,Fst,Ne,Migration,DivTime,min_H2O_osmo,mean_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,mayjune_tmin,mayjune_tmax,mayjune_prec,latitude,longitude
madriver,cali,0.001183577,-2.64,13.9,0.7666667,0.026666667,2.761,0.059,138328,4.93E-05,218640,166,896.33,11.87083333,8.041666667,53.97091723,254.6964176,19.6,4.7,14.9,9.35,14.71666667,15.08333333,8.933333333,1116,195,4,78.72927874,548,33,41,536,9.25,17.05,31.5,40.85888333,-124.1128833
sfbnwr,cali,0.001620443,6.66,17.55,-33.7,-0.24,2.288,0.061,269934,2.06E-05,238415,608,624,15.075,10.85,53.18627451,376.1074556,25.4,5,20.4,11.23333333,19.18333333,19.46666667,10.33333333,352,73,1,90.95814792,184,5,8,184,11.5,23.3,4,37.43381667,-122.0166
abre,mexi,0.004054928,72.1,43.3,148.1,0.258,-1.647,0.113,57708,1.20E-09,278646,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,12.65,28.75,0,26.715017,-113.5865
atrat,mexi,0.004460736,59.42,37.3,208.0428571,0.46,-2.657,0.12,37434,0.000000058,627789,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,19.65,36,1,27.113274,-110.016188
guerr,mexi,0.002986053,24.04,34.8285714,83.2428571,0.115714286,1.186,0.101,71451,2.49E-06,237087,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,13.3,30.2,0.5,27.928817,-114.156367
lopez,mexi,0.00251156,42.19,39.125,95.35,0.125,-2.321,0.114,39673,1.10E-09,1190437,2322.7,2322.7,22.04166667,13.6,57.87234043,388.9486606,34.2,10.7,23.5,19.18333333,21.08333333,27.51666667,17.96666667,82,15,0,78.64242087,36,1,30,23,14.6,28.9,0,25.246279,-112.102591
giwa,cali,NA,NA,23.5857143,76.7,0.1275,3.491,0.041,87397,7.12E-05,243973,171.67,322.5,15.32083333,13.025,48.60074627,519.5647581,30,3.2,26.8,8.733333333,21.11666667,21.35,8.733333333,440,102,1,95.22640979,248,5,8,248,11.35,26,6,38.13381667,-121.9559
morro,cali,NA,NA,25.8,-146.9,-0.542,-0.478,0.078,91230,4.66E-06,207091,989,1729.8,13.99583333,11.675,64.86111111,224.4838356,23.2,5.2,18,11.61666667,16.1,16.7,11.36666667,433,88,1,94.82801804,241,3,10,236,9.05,20.15,4,35.33435,-120.8189167
belding,mexi,0.00362162,NA,28.3,86.1,0.146,NA,0.085,94099,3.91E-06,227757,1095,1426.7,19.32083333,15.95833333,60.67807351,396.5215707,33,6.7,26.3,15.1,21.31666667,24.91666667,15.1,154,33,0,98.66711643,90,2,7,90,12.15,26.9,0.5,30.412833,-115.939983
napa,cali,0.001121716,7.715,19.8,161.1,0.31,NA,0.067,122019,4.65E-05,228661,589.67,589.67,14.64583333,12.75833333,54.99281609,412.7868608,27,3.8,23.2,9.416666667,19.11666667,19.4,9.416666667,678,155,1,97.42701157,385,7,10,385,10.25,24.2,7.5,38.14725,-122.3445
